pathway,column,delta_plis,ci_low,ci_high,p_value,q_value
Cell cycle,pathway_CELL_CYCLE,5.430712015632127,3.9055099398627995,7.222337950050132,2.159192622407815e-08,2.3751118846485966e-07
DNA repair/MGMT,pathway_DNA_REPAIR_MGMT,3.130706767212442,2.1391302055110257,4.208570372902682,1.0484572680100715e-07,5.766514974055393e-07
Mesenchymal/EMT,pathway_MESENCHYMAL,2.58841079086887,1.623527901509659,3.6333411745171844,1.6377995527309046e-06,6.005265026679983e-06
p53/DNA damage,pathway_P53_DNA_DAMAGE,1.9802692148619152,1.1838300562581587,2.8173002206507367,4.376351941278775e-06,1.2034967838516631e-05
IDH metabolism,pathway_IDH_METABOLISM,1.8742116868082288,1.0823811639903238,2.729140206613591,2.4559292157858432e-05,5.4030442747288555e-05
Classical GBM,pathway_CLASSICAL_GBM,1.6480322595963788,0.7850589046482273,2.572235477924117,0.0004286765209136121,0.0007859069550082889
Hypoxia/angiogenesis,pathway_HYPOXIA_ANGIO,1.5782787632102062,0.680298298309624,2.5486373689815096,0.0017228427039110393,0.002368908717877679
Immune microenvironment,pathway_IMMUNE_MICROENV,1.059577349233875,0.4758836842367914,1.7245228488197168,0.001147493842506865,0.0018032046096536447
Stemness/proneural,pathway_PRONEURAL,0.9060933300429571,0.2581047289282026,1.606111682090355,0.010581453246588993,0.012932887301386548
RTK/RAS/PI3K,pathway_RTK_RAS_PI3K,0.5501221435696907,0.11858976900949818,0.9893446371541164,0.015264881531748566,0.016791369684923424
Telomere maintenance,pathway_TELOMERE_MAINT,0.2573282610731722,-0.13119326378813687,0.6363108804336508,0.20727612628491088,0.20727612628491088
